tag,key_words,priority
实控人变更,"大股东变更,实控人拟变更,控股股东变更,控制人变更",1
CEO变更,"变更首席执行官,任命CEO,出任CEO",1
高层出逃,"逃亡,出逃海外",1
农作物病虫害,"蝗灾,病虫害",1
工厂停产,"停产,停摆",1
审计非标,非标审计,1
爆雷,"埋雷,黑天鹅,暴雷",1
高层自杀,"跳楼,自杀,楼坠下",1
不分红,不派息,1
股票分红,派息,1
终止合作,终止战略合作,2
板块点评,"概念股票有哪些,轮动效应,什么概念,什么板块,板块解析",2
关闭门店/站点/子公司,"门店暂停,关闭子公司,关闭门店",2
成为供应商,"提供产品,提供服务",2
食药类认证,"新药获批,抽检发现异物,GMP认证,药品生产质量管理规范,药品经营许可,药品GSP认证,药品委托生产许可,药品GMP证书",2
期货空头情绪,空头情绪,2
期货多头情绪,多头情绪,2
CEO辞职,"辞去CEO,辞任公司",2
成交量增加,"成交额增,成交额破",2
增加注册资本,增资,2
减少注册资本,减资,2
董事长辞职,"辞去董事长,辞任公司董事",2
总裁辞职,辞去总裁,2
美股上市,美国上市,2
宏观调控,公开市场操作,2
丧失偿债能力,"资不抵债,无法偿还",2
退出组织会议,宣布退出,2
债务危机,"债务风险,欠息,债务逾期,拖欠货款",2
业务恢复,"复工,恢复",2
用户流量增长,"喜爱,火爆,用户活跃,用户增多,流入量创",2
研发成功,"试验成功,试点成功,成功研发",2
企业遭催款,催款,2
债务风险解除,已偿还,2
董秘辞职,"董事会秘书辞职,辞去董事会秘书,辞去董秘",2
合作推进,"合作研发,推进合作",2
高层内斗,"逼宫,架空,高层之争,内斗,内讧,被贬",2
高层死亡,"意外死亡,意外去世,离世",2
气候异常,"雾霾,沙尘暴",2
涉嫌犯罪,"遭罚,违法,涉嫌,受贿,财务造假,举报高管,公司利益罪,欺诈发行,公诉,操纵,法院审理,起诉,指控,犯罪,获刑,虚假",2
签订订单,"签订合同,签单破",2
拓展业务,"调整业务,业务创新,新业务,开展业务",2
项目竣工验收,"顺利合龙,竣工验收,项目落地",2
享受政府补贴,获得政府补贴,2
行业面临困境,面临困境,2
美股上市,纳斯达克上市,2
政策推进,"利好政策,政策利好",2
投资布局,"项目投资,增加投资",2
违规业务,"违规,罚单,违纪",2
技术故障,"设备故障,技术漏洞",2
政策限制,"监管难题,被封,制裁,封杀",2
监管合规,"监管,建立健全,市场准入,反洗钱",2
摘星摘帽,"摘星,摘帽",2
股权激励,员工持股,2
产能扩张,扩产,3
央行降息,降息,3
业务暂停,暂停,3
